Nr;date_farm;AMU;age;date_lab;AMP;AZI;AMI;GEN;TGC;TAZ;FOT;COL;NAL;TET;TMP;SMX;CHL;MERO;CIP;multidrug_res;drug_res;multiclass_res;class_res;;;
153;11.09.2023;0;0;15.09.2023;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;3;1;3;;;
154;11.09.2023;0;1;15.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
155;11.09.2023;0;1;15.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
156;11.09.2023;0;1;15.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
157;13.09.2023;1;0;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
158;13.09.2023;1;1;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
159;13.09.2023;1;1;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
160;13.09.2023;1;1;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
161;13.09.2023;1;0;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
162;13.09.2023;1;1;05.10.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
163;13.09.2023;1;1;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
164;13.09.2023;1;1;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
165;14.09.2023;1;0;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
166;14.09.2023;1;1;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
167;14.09.2023;1;1;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
168;14.09.2023;1;1;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
169;14.09.2023;0;0;05.10.2023;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;6;1;6;;;
170;14.09.2023;0;1;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
171;14.09.2023;0;1;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
172;14.09.2023;0;1;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
173;14.09.2023;1;0;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
174;14.09.2023;1;1;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
175;14.09.2023;1;1;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
176;14.09.2023;1;1;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
177;15.09.2023;1;0;25.10.2023;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;4;1;4;;;
178;15.09.2023;1;1;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
179;15.09.2023;1;1;22.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
180;15.09.2023;1;1;05.10.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
181;18.09.2023;0;0;28.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
182;18.09.2023;0;1;28.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
183;18.09.2023;0;1;28.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
184;18.09.2023;0;1;28.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
185;19.09.2023;0;0;28.09.2023;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;2;;;
186;19.09.2023;0;1;28.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
187;19.09.2023;0;1;28.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
188;19.09.2023;0;1;28.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
